,Date,Weight Class,Name,Bodyweight (kg),Snatch 1,Snatch 2,Snatch 3,Clean and Jerk 1,Clean and Jerk 2,Clean and Jerk 3,Best Snatch,Best Clean and Jerk,Total
,,,,,84,,,112,,,92,120,212
American Open last chance qualifier,2021-01-31,Open Men's 81kg,James Holt,79.9,-84,-84,-84,103,107,-111,0,107,107
Vaughn Weightlifting Developmental,2021-03-13,Open Men's 81kg,James Holt,81,70,75,80,104,108,111,80,111,191
2021 Texas Barbell Spring Showdown,2021-03-27,Open Men's 81kg,James Holt,80.9,72,77,82,105,109,112,82,112,194
Bexar Barbell Spring Throwdown,2021-04-17,Open Men's 81kg,James Holt,80.65,75,-80,82,106,110,113,82,113,195
7th Annual Athleo Open,2021-05-29,Open Men's 81kg,James Holt,80.7,77,81,84,107,111,114,84,114,198
South Texas Invitational,2021-06-19,Open Men's 81kg,James Holt,80.3,78,-83,83,-108,110,-115,83,110,193
2021 Strong Summer Classic,2021-07-11,Open Men's 81kg,James Holt,80.6,-85,-85,-86,108,112,-115,0,112,112
2021 AUSTIN CITY WEIGHTLIFTING CHAMPIONSHIPS,2021-08-14,Open Men's 81kg,James Holt,80.3,80,-84,-84,109,112,-115,80,112,192
2021 Texas Barbell Fall Showdown,2021-09-04,Open Men's 81kg,James Holt,79.3,80,-84,84,105,-110,115,84,115,199
The Nike 2021 North American Open Series 2 powered by Rogue,2021-09-17,Open Men's 81kg,James Holt,78.77,75,80,85,105,110,-115,85,110,195
Kiloween Classic,2021-10-30,Open Men's 81kg,James Holt,80.3,80,86,89,105,111,114,89,114,203
2021 Texas Barbell Christmas Classic,2021-12-11,Open Men's 81kg,James Holt,78.4,-82,82,86,110,116,118,86,118,204
Bexar Barbell Winter Throwdown,2022-01-07,Open Men's 81kg,James Holt,80.2,81,84,87,100,105,109,87,109,196
St. Valentines Showdown,2022-02-12,Open Men's 81kg,James Holt,80.4,82,86,90,105,110,115,90,115,205
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,Open Men's 81kg,James Holt,79.6,83,-91,91,111,115,119,91,119,210
2022 Texas Barbell Spring Showdown,2022-03-26,Open Men's 81kg,James Holt,79.4,84,-92,92,112,115,120,92,120,212
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,48,,,48,,,,,
,,,,,34,,,41,,,,,
,,,,,71%,,,85%,,,,,
